,1,2,3,4,5
0,-0.5,-0.5,405.5367738,348.2,0.003
1,-0.5,-0.388888889,344538.7037,283.2,0.815
2,-0.5,-0.388888889,797.920422,322.8,0.006
3,-0.5,-0.388888889,930.8200151,348.2,0.003
4,-0.5,-0.277777778,1530.566939,283.2,0.0206
5,-0.5,-0.277777778,555226.0057,283.2,0.815
6,-0.5,-0.277777778,2475.726962,298.1,0.018
7,-0.5,-0.277777778,1939.422935,322.8,0.006
8,-0.5,-0.277777778,2018.223556,348.2,0.003
9,-0.5,-0.166666667,4537.561413,283.2,0.0206
10,-0.5,-0.166666667,284853.485,283.2,0.558
11,-0.5,-0.166666667,914213.3527,283.2,0.815
12,-0.5,-0.166666667,6704.454493,298.1,0.018
13,-0.5,-0.166666667,153034.4836,298.2,0.297
14,-0.5,-0.166666667,231142.6554,298.1,0.39
15,-0.5,-0.166666667,449735.4948,298.2,0.552
16,-0.5,-0.166666667,4649.294766,322.8,0.006
17,-0.5,-0.166666667,38060.19556,323.1,0.047
18,-0.5,-0.166666667,97314.72814,323.1,0.113000001
19,-0.5,-0.166666667,297486.1753,323.1,0.284999998
20,-0.5,-0.166666667,4342.34501,348.2,0.003
21,-0.5,-0.166666667,42877.50514,348.2,0.029
22,-0.5,-0.166666667,107112.3625,348.2,0.07
23,-0.5,-0.166666667,238885.7897,348.1,0.146
24,-0.5,-0.166666667,452327.4893,348.2,0.248
25,-0.5,-0.055555556,13402.35067,283.2,0.0206
26,-0.5,-0.055555556,73647.09363,283.2,0.106
27,-0.5,-0.055555556,219114.2494,283.2,0.271
28,-0.5,-0.055555556,416413.8028,283.2,0.428
29,-0.5,-0.055555556,659684.7526,283.2,0.558
30,-0.5,-0.055555556,907274.011,283.2,0.65
31,-0.5,-0.055555556,18146.36324,298.1,0.018
32,-0.5,-0.055555556,80167.85708,298.2,0.076
33,-0.5,-0.055555556,220198.8757,298.2,0.19
34,-0.5,-0.055555556,381942.8177,298.2,0.297
35,-0.5,-0.055555556,556170.9615,298.1,0.39
36,-0.5,-0.055555556,758442.6052,298.1,0.475
37,-0.5,-0.055555556,995076.8006,298.2,0.552
38,-0.5,-0.055555556,1292264.839,298.1,0.628
39,-0.5,-0.055555556,11128.04771,322.8,0.006
40,-0.5,-0.055555556,90330.8283,323.1,0.047
41,-0.5,-0.055555556,228269.6819,323.1,0.113
42,-0.5,-0.055555556,369652.3477,323.1,0.174
43,-0.5,-0.055555556,516637.4447,323.1,0.231
44,-0.5,-0.055555556,672228.7024,323.1,0.285
45,-0.5,-0.055555556,835656.4843,323.2,0.335
46,-0.5,-0.055555556,1006793.891,323.2,0.382
47,-0.5,-0.055555556,9331.567607,348.2,0.003
48,-0.5,-0.055555556,91866.75131,348.2,0.029
49,-0.5,-0.055555556,228488.8032,348.2,0.07
50,-0.5,-0.055555556,366668.0105,348.2,0.109
51,-0.5,-0.055555556,505248.3632,348.1,0.146
52,-0.5,-0.055555556,649683.7125,348.1,0.182
53,-0.5,-0.055555556,787935.8352,348.2,0.214
54,-0.5,-0.055555556,943418.7892,348.2,0.248
55,-0.5,0.055555556,39667.7953,283.2,0.0206
56,-0.5,0.055555556,215051.1304,283.2,0.106
57,-0.5,0.055555556,619104.7126,283.2,0.271
58,-0.5,0.055555556,1128420.077,283.2,0.428
59,-0.5,0.055555556,1714594.983,283.2,0.558
60,-0.5,0.055555556,49229.78329,298.1,0.018
61,-0.5,0.055555556,216240.0599,298.2,0.076
62,-0.5,0.055555556,587058.918,298.2,0.19
63,-0.5,0.055555556,1005727.534,298.2,0.297
64,-0.5,0.055555556,1449535.604,298.1,0.39
65,-0.5,0.055555556,1965358.684,298.1,0.475
67,-0.5,0.055555556,26651.71292,322.8,0.006
68,-0.5,0.055555556,216052.2619,323.1,0.047
69,-0.5,0.055555556,546251.2369,323.1,0.113
70,-0.5,0.055555556,885597.6252,323.1,0.174
71,-0.5,0.055555556,1240427.236,323.1,0.231
72,-0.5,0.055555556,1620160.573,323.1,0.285
73,-0.5,0.055555556,2026134.355,323.2,0.335
74,-0.5,0.055555556,2466477.395,323.2,0.382
75,-0.5,0.055555556,20057.40846,348.2,0.003
76,-0.5,0.055555556,197807.0469,348.2,0.029
77,-0.5,0.055555556,493602.4055,348.2,0.07
78,-0.5,0.055555556,795057.4446,348.2,0.109
79,-0.5,0.055555556,1100572.527,348.1,0.146
80,-0.5,0.055555556,1422269.616,348.1,0.182
81,-0.5,0.055555556,1733751.045,348.2,0.214
82,-0.5,0.055555556,2090811.887,348.2,0.248
83,-0.5,0.166666667,118313.5129,283.2,0.0206
84,-0.5,0.166666667,657672.9391,283.2,0.106
85,-0.5,0.166666667,134496.4872,298.1,0.018
86,-0.5,0.166666667,603102.1107,298.2,0.076
87,-0.5,0.166666667,1757511.291,298.2,0.19
88,-0.5,0.166666667,63974.92182,322.8,0.006
89,-0.5,0.166666667,527159.9764,323.1,0.047
90,-0.5,0.166666667,1385593.381,323.1,0.113
91,-0.5,0.166666667,2380307.392,323.1,0.174
92,-0.5,0.166666667,43155.75154,348.2,0.003
93,-0.5,0.166666667,430726.8291,348.2,0.029
94,-0.5,0.166666667,1099599.59,348.2,0.07
95,-0.5,0.166666667,1821613.117,348.2,0.109
96,-0.5,0.166666667,2615150.646,348.1,0.146
97,-0.5,0.277777778,361764.4491,283.2,0.0206
98,-0.5,0.277777778,154437.372,322.8,0.006
99,-0.5,0.277777778,93072.78647,348.2,0.003
100,-0.388888889,-0.5,274.2645445,322.8,0.006
101,-0.388888889,-0.5,405.4249369,348.2,0.003
102,-0.388888889,-0.388888889,797.4789371,322.8,0.006
103,-0.388888889,-0.388888889,930.5920545,348.2,0.003
104,-0.388888889,-0.277777778,1527.099872,283.2,0.0206
105,-0.388888889,-0.277777778,477669.4238,283.2,0.815
106,-0.388888889,-0.277777778,2471.19937,298.1,0.018
107,-0.388888889,-0.277777778,1938.370104,322.8,0.006
108,-0.388888889,-0.277777778,2017.731782,348.2,0.003
109,-0.388888889,-0.277777778,20009.27007,348.2,0.029
110,-0.388888889,-0.166666667,4527.287199,283.2,0.0206
111,-0.388888889,-0.166666667,778077.8436,283.2,0.815
112,-0.388888889,-0.166666667,6692.115721,298.1,0.018
113,-0.388888889,-0.166666667,83317.77781,298.2,0.19
114,-0.388888889,-0.166666667,412887.9796,298.2,0.552
115,-0.388888889,-0.166666667,4646.755757,322.8,0.006
116,-0.388888889,-0.166666667,37893.3948,323.1,0.047
117,-0.388888889,-0.166666667,96243.74782,323.1,0.113000001
118,-0.388888889,-0.166666667,4341.278499,348.2,0.003
119,-0.388888889,-0.166666667,42773.96631,348.2,0.029
120,-0.388888889,-0.166666667,106470.0341,348.2,0.07
121,-0.388888889,-0.166666667,235728.1142,348.1,0.146
122,-0.388888889,-0.166666667,368321.5894,348.2,0.214
123,-0.388888889,-0.055555556,13371.75099,283.2,0.0206
124,-0.388888889,-0.055555556,72731.03164,283.2,0.106
125,-0.388888889,-0.055555556,211262.7646,283.2,0.271
126,-0.388888889,-0.055555556,389676.4581,283.2,0.428
127,-0.388888889,-0.055555556,597726.6405,283.2,0.558
128,-0.388888889,-0.055555556,799053.7502,283.2,0.65
129,-0.388888889,-0.055555556,1316431.972,283.2,0.815
130,-0.388888889,-0.055555556,18112.647,298.1,0.018
131,-0.388888889,-0.055555556,79513.15363,298.2,0.076
132,-0.388888889,-0.055555556,215305.9825,298.2,0.19
133,-0.388888889,-0.055555556,367483.6109,298.2,0.297
134,-0.388888889,-0.055555556,526177.1029,298.1,0.39
135,-0.388888889,-0.055555556,704458.4293,298.1,0.475
136,-0.388888889,-0.055555556,906006.645,298.2,0.552
137,-0.388888889,-0.055555556,1148881.432,298.1,0.628
138,-0.388888889,-0.055555556,11121.91295,322.8,0.006
139,-0.388888889,-0.055555556,89928.91619,323.1,0.047
140,-0.388888889,-0.055555556,225696.4645,323.1,0.113
141,-0.388888889,-0.055555556,362900.2066,323.1,0.174
142,-0.388888889,-0.055555556,503463.6836,323.1,0.231
143,-0.388888889,-0.055555556,649990.9471,323.1,0.285
144,-0.388888889,-0.055555556,801533.2343,323.2,0.335
145,-0.388888889,-0.055555556,957556.3113,323.2,0.382
146,-0.388888889,-0.055555556,9329.252039,348.2,0.003
147,-0.388888889,-0.055555556,91641.60151,348.2,0.029
148,-0.388888889,-0.055555556,227088.7844,348.2,0.07
149,-0.388888889,-0.055555556,363046.2418,348.2,0.109
150,-0.388888889,-0.055555556,498329.3927,348.1,0.146
151,-0.388888889,-0.055555556,638204.2407,348.1,0.182
152,-0.388888889,-0.055555556,771041.8012,348.2,0.214
153,-0.388888889,-0.055555556,919138.1913,348.2,0.248
154,-0.388888889,0.055555556,39576.17159,283.2,0.0206
155,-0.388888889,0.055555556,212295.7583,283.2,0.106
156,-0.388888889,0.055555556,595226.8427,283.2,0.271
157,-0.388888889,0.055555556,1045399.882,283.2,0.428
158,-0.388888889,0.055555556,1512584.595,283.2,0.558
159,-0.388888889,0.055555556,49137.17416,298.1,0.018
160,-0.388888889,0.055555556,214426.317,298.2,0.076
161,-0.388888889,0.055555556,573199.9228,298.2,0.19
162,-0.388888889,0.055555556,963518.3259,298.2,0.297
163,-0.388888889,0.055555556,1358209.595,298.1,0.39
164,-0.388888889,0.055555556,1789079.298,298.1,0.475
