,1,2,3,4
6,-0.5,-0.277777778,2475.726962,298.1
12,-0.5,-0.166666667,6704.454493,298.1
13,-0.5,-0.166666667,153034.4836,298.2
14,-0.5,-0.166666667,231142.6554,298.1
15,-0.5,-0.166666667,449735.4948,298.2
31,-0.5,-0.055555556,18146.36324,298.1
32,-0.5,-0.055555556,80167.85708,298.2
33,-0.5,-0.055555556,220198.8757,298.2
34,-0.5,-0.055555556,381942.8177,298.2
35,-0.5,-0.055555556,556170.9615,298.1
36,-0.5,-0.055555556,758442.6052,298.1
37,-0.5,-0.055555556,995076.8006,298.2
38,-0.5,-0.055555556,1292264.839,298.1
60,-0.5,0.055555556,49229.78329,298.1
61,-0.5,0.055555556,216240.0599,298.2
62,-0.5,0.055555556,587058.918,298.2
63,-0.5,0.055555556,1005727.534,298.2
64,-0.5,0.055555556,1449535.604,298.1
65,-0.5,0.055555556,1965358.684,298.1
85,-0.5,0.166666667,134496.4872,298.1
86,-0.5,0.166666667,603102.1107,298.2
87,-0.5,0.166666667,1757511.291,298.2
106,-0.388888889,-0.277777778,2471.19937,298.1
112,-0.388888889,-0.166666667,6692.115721,298.1
113,-0.388888889,-0.166666667,83317.77781,298.2
114,-0.388888889,-0.166666667,412887.9796,298.2
130,-0.388888889,-0.055555556,18112.647,298.1
131,-0.388888889,-0.055555556,79513.15363,298.2
132,-0.388888889,-0.055555556,215305.9825,298.2
133,-0.388888889,-0.055555556,367483.6109,298.2
134,-0.388888889,-0.055555556,526177.1029,298.1
135,-0.388888889,-0.055555556,704458.4293,298.1
136,-0.388888889,-0.055555556,906006.645,298.2
137,-0.388888889,-0.055555556,1148881.432,298.1
159,-0.388888889,0.055555556,49137.17416,298.1
160,-0.388888889,0.055555556,214426.317,298.2
161,-0.388888889,0.055555556,573199.9228,298.2
162,-0.388888889,0.055555556,963518.3259,298.2
163,-0.388888889,0.055555556,1358209.595,298.1
164,-0.388888889,0.055555556,1789079.298,298.1
