,0
0,10649.606534980705
1,107452.67074801335
2,257233.02455738216
3,400905.38464600063
4,543535.2248145363
5,680800.455279184
6,855846.3217753344
7,10641.062236664335
8,104874.86087123453
9,255517.01014839788
10,404532.2011296733
11,550552.6379036076
12,698940.8751796975
13,844996.8316655839
14,1015925.4470824966
15,8865.7042279816
16,100308.08422058773
17,254305.16299066105
18,399816.76763337076
19,552818.2387846461
20,700323.0023065027
21,838916.5794135508
22,994195.535157498
23,5597.152367455876
24,97110.47772338404
25,247984.7527425544
26,399737.94937227876
27,551852.4653575614
28,703644.2360353682
29,854242.3007286281
30,998195.4520659352
