,R125_x,"P, MPa","T, K"
0,0.025000000000000064,0.02160183623872656,283.1
1,0.04999999999999998,0.04288140050005426,283.1
2,0.07499999999999996,0.06382222977381159,283.1
3,0.08499999999999999,0.07210018649497658,283.1
4,0.10000000000000017,0.08440856679062281,283.1
5,0.12500000000000006,0.10462470986931319,283.1
6,0.15000000000000002,0.12445519330487986,283.1
7,0.16800000000000007,0.13848585722127063,283.1
8,0.17500000000000002,0.14388494167900098,283.1
9,0.19999999999999996,0.1628994432547051,283.1
10,0.22499999999999998,0.1814849510450978,283.1
11,,,283.1
12,,,283.1
13,,,283.1
14,,,283.1
15,0.3309999999999999,0.25525394369618803,283.1
16,,,283.1
17,,,283.1
18,,,283.1
19,,,283.1
20,0.425,0.3135563154019387,283.1
21,,,283.1
22,0.47500000000000003,0.34188473976543676,283.1
23,,,283.1
24,,,283.1
25,,,283.1
26,,,283.1
27,,,283.1
28,,,283.1
29,,,283.1
30,,,283.1
31,,,283.1
32,,,283.1
33,0.02500000000000002,0.033957310977088415,298.1
34,0.050000000000000065,0.06749809790829865,298.1
35,0.05499999999999997,0.07415367458338591,298.1
36,0.07499999999999994,0.10059288286052381,298.1
37,0.10000000000000006,0.13321203573303625,298.1
38,0.10899999999777181,0.14483271043763365,298.1
39,0.1249999999991908,0.16532546135430065,298.1
40,0.15000000000018174,0.19690280383337702,298.1
41,0.16100000000011788,0.2106191651702647,298.1
42,0.17499999999957117,0.22791365932768165,298.1
43,0.19999999999722906,0.2583278283704149,298.1
44,0.212999999999999,0.2738974985619848,298.1
45,,,298.1
46,,,298.1
47,,,298.1
48,,,298.1
49,,,298.1
50,,,298.1
51,0.32499999999995616,0.4004488321343659,298.1
52,,,298.1
53,,,298.1
54,,,298.1
55,,,298.1
56,,,298.1
57,,,298.1
58,,,298.1
59,,,298.1
60,,,298.1
61,0.02499999999999989,0.06411793599322374,323.1
62,0.05000000000000003,0.1277869736610587,323.1
63,0.059,0.15058611010906345,323.1
64,0.07499999999999994,0.1909452307154469,323.1
65,0.08799999999999993,0.22356422766626838,323.1
66,0.09999999999999998,0.25352774007956036,323.1
67,0.11699999999999998,0.2957202991366487,323.1
68,0.12500000000000006,0.315466284229958,323.1
69,0.15000000000000002,0.37668951910674786,323.1
70,0.15200000000000008,0.3815542706971505,323.1
71,0.1749999999999999,0.4371231543503534,323.1
72,0.17599999999999993,0.4395229958104656,323.1
73,0.20000000000000007,0.4966902171793758,323.1
74,0.22499999999999998,0.5553114192605574,323.1
75,0.22799999999999737,0.5622785650111098,323.1
76,,,323.1
77,,,323.1
78,,,323.1
79,0.024999999999999946,0.10754099165887568,348.1
80,0.03400000000000005,0.14622884690221194,348.1
81,0.05000000000000005,0.21495220515312036,348.1
82,0.07399999999999994,0.31785537937597097,348.1
83,0.07499999999999984,0.32213714389856074,348.1
84,0.09700000000000009,0.41618950170101177,348.1
85,0.1,0.42899074689686184,348.1
86,0.10500000000000007,0.4503118202467716,348.1
87,0.12500000000000003,0.5353987627162539,348.1
88,0.14,0.5989785572413168,348.1
89,0.1499999999999999,0.6412372767054512,348.1
90,0.17100000000000007,0.7296037817066143,348.1
