temperature,x_R125,x_emimTf2N,pressure
283.1,0.025,0.975,27293.80006
283.1,0.05,0.95,53135.7555
283.1,0.075,0.925,79474.94919
283.1,0.085,0.915,100000
283.1,0.1,0.9,106258.964
283.1,0.125,0.875,133435.3828
283.1,0.15,0.85,160951.7885
283.1,0.168,0.832,199700
283.1,0.175,0.825,188755.7639
283.1,0.2,0.8,216794.892
283.1,0.225,0.775,245016.7556
283.1,0.25,0.75,297700
283.1,0.275,0.725,301799.0207
283.1,0.3,0.7,330254.588
283.1,0.325,0.675,358683.2223
283.1,0.331,0.669,399700
283.1,0.35,0.65,387032.5065
283.1,0.375,0.625,415250.0234
283.1,0.4,0.6,443283.356
283.1,0.413,0.587,499900
283.1,0.425,0.575,471080.0871
283.1,0.45,0.55,498587.7995
283.1,0.475,0.525,525754.0762
283.1,0.496,0.504,599700
283.1,0.5,0.5,552526.5
283.1,0.525,0.475,578852.6538
283.1,0.55,0.45,604680.1205
283.1,0.575,0.425,629956.4829
283.1,0.583,0.417,699900
283.1,0.6,0.4,654629.324
283.1,0.625,0.375,678646.2266
283.1,0.65,0.35,701954.7735
283.1,0.681,0.319,799600
298.1,0.025,0.975,44557.94859
298.1,0.05,0.95,91090.86375
298.1,0.055,0.945,99800
298.1,0.075,0.925,137754.8495
298.1,0.1,0.9,184556.01
298.1,0.109,0.891,199700
298.1,0.125,0.875,231500.4492
298.1,0.15,0.85,278594.2713
298.1,0.161,0.839,299700
298.1,0.175,0.825,325843.5802
298.1,0.2,0.8,373254.48
298.1,0.213,0.787,399600
298.1,0.225,0.775,420833.0748
298.1,0.25,0.75,468585.4688
298.1,0.267,0.733,499900
298.1,0.275,0.725,516517.7658
298.1,0.3,0.7,564636.07
298.1,0.317,0.683,599700
298.1,0.325,0.675,612946.4855
298.1,0.35,0.65,661455.1163
298.1,0.375,0.625,710168.0664
298.1,0.4,0.6,759091.44
298.1,0.422,0.578,800100
298.1,0.425,0.575,808231.3411
298.1,0.45,0.55,857593.8738
298.1,0.475,0.525,907185.142
298.1,0.5,0.5,957011.25
298.1,0.521,0.479,999800
323.1,0.025,0.975,82919.11875
323.1,0.05,0.95,167066.15
323.1,0.059,0.941,200000
323.1,0.075,0.925,251560.6063
323.1,0.088,0.912,299800
323.1,0.1,0.9,336612
323.1,0.117,0.883,399600
323.1,0.125,0.875,422429.8438
323.1,0.15,0.85,509223.65
323.1,0.152,0.848,500200
323.1,0.175,0.825,597202.9313
323.1,0.176,0.824,599700
323.1,0.2,0.8,686577.2
323.1,0.225,0.775,777555.9688
323.1,0.228,0.772,799900
323.1,0.25,0.75,870348.75
323.1,0.275,0.725,965165.0563
323.1,0.285,0.715,1000100
348.1,0.025,0.975,136854.25
348.1,0.034,0.966,199700
348.1,0.05,0.95,299800
348.1,0.074,0.926,399800
348.1,0.075,0.925,411803.25
348.1,0.097,0.903,500100
348.1,0.1,0.9,556648
348.1,0.105,0.895,599600
348.1,0.125,0.875,706406.25
348.1,0.14,0.86,799800
348.1,0.15,0.85,861078
348.1,0.171,0.829,999700
