temperature,pressure,x_R32,x_emimTf2N,P_PR_1param_Opt1,P_PR_1param_Opt2,P_PR_3params_Opt1,P_PR_3params_Opt2,P_PR_noTdep,P_PR_linTdep,P_PR_quadTdep,P_PR_polyTdep,P_SRK_1param_Opt1,P_SRK_1param_Opt2,P_SRK_noTdep,P_SRK_3params_Opt1,P_SRK_3params_Opt2,P_SRK_linTdep,P_SRK_quadTdep,P_SRK_polyTdep
283.15,100100,0.136,0.864,0.105613756,0.085868239,0.106716537,0.091635693,0.090866306,0.105260404,0.107326715,0.108157306,0.103349747,0.088273198,0.088541956,0.1067324,0.090091341,0.105260404,0.107488777,
283.15,250300,0.306,0.694,0.2608401,0.19645737,0.257616825,0.228383828,0.226730534,0.253247855,0.257228341,0.25884105,0.255605827,0.199360657,0.222017521,0.257539897,0.225356803,0.253247855,0.257418999,0.259050219
283.15,399300,0.448,0.552,0.420035512,,0.405041048,0.371680414,0.369461164,0.396830104,0.401384422,0.403258801,0.412351731,,0.363761837,0.404809111,0.368258913,0.396830104,0.401434693,0.403322462
283.15,549300,0.57,0.43,0.588948686,,0.554113504,0.527695078,0.525280423,0.541119874,0.544863705,0.546467518,0.579520085,,0.520331154,0.553768153,0.525240452,0.541119874,0.544707775,0.546308396
283.15,700400,0.672,0.328,0.761048427,,0.699856583,0.691645119,0.689480028,0.681625811,0.683252937,0.684077775,0.750999663,0.451926015,0.687345275,0.699599919,0.691757285,0.681625811,0.682992263,0.683795637
283.15,849400,0.786,0.214,0.987325677,,0.88722351,0.917657745,0.916558671,0.862647355,0.859936867,0.859139921,0.979074064,0.554076215,0.921623979,0.887829026,0.923846096,0.862647355,0.860151126,0.85929896
298.15,99800,0.095,0.905,0.111237018,0.093210197,0.10809591,0.097346475,0.096628964,0.105470611,0.10534399,0.104397283,0.109883385,0.096663929,0.095065325,0.10823875,0.096518893,0.105470611,0.10541825,0.104423413
298.15,250200,0.218,0.782,0.271750392,0.216835526,0.260788111,0.238725254,0.237341319,0.256460296,0.256213832,0.254280639,0.268494883,0.223030506,0.234049779,0.261006308,0.236855327,0.256460296,0.25631402,0.254289864
298.15,399400,0.325,0.675,0.431361981,0.327537579,0.408666944,0.380578028,0.378997414,0.405189365,0.404901716,0.402461382,0.42632889,0.334060355,0.374690571,0.408841284,0.377897036,0.405189365,0.404962932,0.402420802
298.15,549400,0.417,0.583,0.588502214,0.425711356,0.550448856,0.521680599,0.52038427,0.550299903,0.550049785,0.547588424,0.581887412,0.430562903,0.515837618,0.550505092,0.518468132,0.550299903,0.550044832,0.547501458
298.15,699500,0.499,0.501,0.748812204,,0.691414657,0.66732255,0.666815624,0.697127291,0.696994765,0.695003178,0.740815963,,0.662861326,0.691318739,0.663885789,0.697127291,0.696932564,0.694908203
298.15,849500,0.57,0.43,0.907024706,,0.827267199,0.812967967,0.813733099,0.841045927,0.841105223,0.840048939,0.897959394,,0.811239613,0.827037704,0.809668418,0.841045927,0.84103864,0.840028452
298.15,999700,0.643,0.357,1.092333714,,0.982984839,0.986365659,0.989226299,1.008782207,1.009155587,1.009762936,1.082493592,,0.98960782,0.982693247,0.983746449,1.008782207,1.009216528,1.009995844
323.15,100300,0.055,0.945,0.116232578,0.100699067,0.106761591,0.10321499,0.102558112,0.10196191,0.100444378,0.100436951,0.11620765,0.10535348,0.102191283,0.107004103,0.10353108,0.10196191,0.100449384,0.100433758
323.15,249700,0.133,0.867,0.292133736,0.246407869,0.266784398,0.259518776,0.258277776,0.258021538,0.254751346,0.254786122,0.291925392,0.25665611,0.257512435,0.267246,0.260042433,0.258021538,0.254751652,0.254796628
323.15,400100,0.2,0.8,0.455425028,0.374429201,0.413623112,0.404769085,0.403452977,0.404936278,0.400670429,0.400806357,0.454895108,0.388338234,0.402507624,0.414137404,0.405190344,0.404936278,0.40066017,0.400858973
323.15,549500,0.264,0.736,0.624005742,0.499356339,0.563454677,0.55492269,0.55402551,0.558829965,0.554222345,0.554530051,0.622997711,0.515560163,0.553107686,0.563881869,0.554938392,0.558829965,0.5542018,0.554665276
323.15,700300,0.32,0.68,0.783491617,0.610946663,0.703541883,0.697200986,0.697182689,0.70662488,0.702376722,0.70291407,0.781900895,0.628014288,0.696507555,0.703764819,0.696552868,0.70662488,0.70235217,0.703171315
323.15,850400,0.368,0.632,0.930640534,0.708440582,0.831365647,0.828700279,0.829920989,0.844982274,0.841686731,0.84249736,0.928405055,0.725261333,0.829668847,0.831304255,0.82719977,0.844982274,0.841666699,0.842909749
323.15,1000400,0.417,0.583,1.092439958,0.809908272,0.970356686,0.973578062,0.976645059,0.999416494,0.99788935,1.000400423,1.089382587,0.825404807,0.977089785,0.969886901,0.970877791,0.999416494,0.997885809,0.999706222
348.05,99800,0.034,0.966,0.117050549,0.103683945,0.102828248,0.105336399,0.104737532,0.096364402,0.095537932,0.095997926,0.117977552,0.108928371,0.10529781,0.103067655,0.10652286,0.096364402,0.095528956,0.095932664
348.05,249700,0.084,0.916,0.296640189,0.258759042,0.259770578,0.266774701,0.265603763,0.246259109,0.244747232,0.245655464,0.298801693,0.271159215,0.267019566,0.260236767,0.269413189,0.246259109,0.244729654,0.245523258
348.05,399500,0.131,0.869,0.47445762,0.407447771,0.41415607,0.426408784,0.425102567,0.39725148,0.395801186,0.396825487,0.477614364,0.425870692,0.427365735,0.414681378,0.430035104,0.39725148,0.395782449,0.396670378
348.05,550300,0.175,0.825,0.649835835,0.549307277,0.565418589,0.583648609,0.582647224,0.548832804,0.548215757,0.549011786,0.653749409,0.572642908,0.585751535,0.565843569,0.587800195,0.548832804,0.548203367,0.548879666
348.05,699200,0.216,0.784,0.821978149,0.68389852,0.712899841,0.737790111,0.73752716,0.700323964,0.701321252,0.701539099,0.826414202,0.711079688,0.741466672,0.713075831,0.742014622,0.700323964,0.701321571,0.701475811
348.05,850400,0.254,0.746,0.989949083,0.810789674,0.855844948,0.888007554,0.888898399,0.8508538,0.854236055,0.853528926,0.994681276,0.840812527,0.893665569,0.855636945,0.891873038,0.8508538,0.854253136,0.853578151
348.05,1000500,0.288,0.712,1.147906089,0.926140004,0.989387615,1.029097625,1.031474959,0.994956657,1.001356185,0.999433418,1.152721268,0.958039197,1.037034499,0.98869388,1.032232128,0.994956657,1.001390305,0.999629415
