temperature,pressure,x_R32,x_R125,x_IL,y_R32,y_R125,y_IL,,
298.15,250000,0.246781912,0.00001,0.753218088,0.99999,0.00001,0.00001,,0.24678438
298.15,250000,0.18571163,0.01790334,0.79638503,0.75,0.25,0.00001,,3.457671958
298.15,250000,0.125550724,0.035607754,0.838841522,0.5,0.5,0.00001,,3.525937749
298.15,250000,0.06948201,0.052772226,0.877745764,0.25,0.75,0.00001,,3.949919225
298.15,250000,8.53E-05,0.077524304,0.92256095,0.00001,0.99999,0.00001,,110.0289104
298.15,100000,0.09676329,0.00001,0.90323671,0.99999,0.00001,0.00001,,0.096764258
298.15,100000,0.073204768,0.006280378,0.920514854,0.75,0.25,0.00001,,3.885369532
298.15,100000,0.047941166,0.013384878,0.938673956,0.5,0.5,0.00001,,3.581740977
298.15,100000,0.02372903,0.020290452,0.955980518,0.25,0.75,0.00001,,3.508403361
298.15,100000,0.000028418,0.02713919,0.972832392,0.00001,0.99999,0.00001,,104.7109948
