,,,,,,MAE,,,,MSE,,,,,MAPE,,,,
,lin,cons,ter,x,ex,lin,cons,ter,x,lin,cons,ter,x,bin ter,lin,cons,ter,x,bin ter
1,93351.02811,80168.18651,70315.81122,80168.18651,99600,6248.971888,19431.81349,29284.18878,19431.81349,39049649.65,377595375.3,857563712.5,377595375.3,23035.21689,0.062740682,0.195098529,0.29401796,0.195098529,0.327596546
2,247265.3067,218261.3689,,218261.3689,249700,2434.693327,31438.63114,,31438.63114,5927731.596,988387528.1,,988387528.1,,0.009750474,0.125905611,,0.125905611,
3,406049.4287,371413.0873,,371413.0873,399600,-6449.428732,28186.91266,,28186.91266,41595130.96,794502045.3,,794502045.3,,0.016139712,0.070537819,,0.070537819,
4,549518.4623,522846.3881,,522846.3881,549700,181.5377369,26853.61188,,26853.61188,32955.94993,721116471,,721116471,,0.000330249,0.048851395,,0.048851395,
5,659314.7924,649539.0572,,649539.0572,699600,40285.20761,50060.94277,,50060.94277,1622897952,2506097991,,2506097991,,0.057583201,0.071556522,,0.071556522,
6,874917.7542,928137.8422,,928137.8422,849500,-25417.7542,-78637.84217,,-78637.84217,646062228.6,6183910222,,6183910222,,0.029920841,0.092569561,,0.092569561,
8,98615.61857,89832.22137,80654.67743,89832.22137,99500,884.3814346,9667.77863,18845.32257,9667.77863,782130.5219,93465943.64,355146182.8,93465943.64,17960.94114,0.008888256,0.097163604,0.189400227,0.097163604,0.222689393
9,254653.9555,234127.5058,198486.4297,234127.5058,249700,-4953.955497,15572.4942,51213.5703,15572.4942,24541675.07,242502575.5,2622829783,242502575.5,56167.5258,0.01983963,0.062364815,0.205100402,0.062364815,0.282979173
10,411765.254,382682.9649,,382682.9649,399800,-11965.25396,17117.03506,,17117.03506,143167302.4,292992889.4,,292992889.4,,0.029928099,0.042813995,,0.042813995,
11,557184.1348,523723.824,,523723.824,549700,-7484.13483,25976.17599,,25976.17599,56012274.15,674761719.3,,674761719.3,,0.013614944,0.047255186,,0.047255186,
12,701351.7671,667770.1817,463909.3639,667770.1817,699500,-1851.767062,31729.8183,235590.6361,31729.8183,3429041.252,1006781369,55502947818,1006781369,237442.4032,0.002647272,0.045360712,0.336798622,0.045360712,0.511829296
13,844536.0239,815495.2514,,815495.2514,850100,5563.976052,34604.74864,,34604.74864,30957829.51,1197488629,,1197488629,,0.006545084,0.04070668,,0.04070668,
14,992376.1929,973971.6699,,973971.6699,999900,7523.80714,25928.33011,,25928.33011,56607673.88,672278302.3,,672278302.3,,0.00752456,0.025930923,,0.025930923,
16,105540.9691,104783.1039,96355.13854,104783.1039,99500,-6040.969146,-5283.103897,3144.86146,-5283.103897,36493308.23,27911186.79,9890153.603,27911186.79,9185.830606,0.060713258,0.053096522,0.031606648,0.053096522,0.095333064
17,260338.0406,258353.271,230990.0777,258353.271,249600,-10738.04064,-8753.27097,18609.9223,-8753.27097,115305516.8,76619752.67,346329208,76619752.67,29347.96294,0.043020996,0.035069195,0.074558984,0.035069195,0.127052916
18,411167.4806,407846.0262,354231.6158,407846.0262,399500,-11667.48056,-8346.026182,45268.3842,-8346.026182,136130102.6,69656153.03,2049226608,69656153.03,56935.86476,0.029205208,0.020891179,0.113312601,0.020891179,0.160730613
