,0
0,17842.828081235166
1,93351.0281122739
2,247265.30667315004
3,406049.4287315571
4,549518.462263077
5,659314.792387845
6,874917.7542010106
7,22946.061775184317
8,98615.61856537146
9,254653.95549727746
10,411765.25396149966
11,557184.134829835
12,701351.7670620327
13,844536.023948102
14,992376.1928597755
15,13190.448599649344
16,105540.96914624723
17,260338.0406423521
18,411167.48055956356
19,559855.7286007276
20,708654.6859385886
21,856204.1260743502
22,1001426.3069920985
23,10508.638053388771
24,102829.89265013047
25,253162.68795970012
26,402044.4362107892
27,548191.7959352202
28,697084.4647450115
29,836408.146236305
30,989410.885247256
