temperature,pressure,x_R32,x_bmimPF6,,,,,,,,,,
283.2,9800,0.0206,0.9794,,,,,,,,,,
283.2,99600,0.106,0.894,,,,,,,,,,
283.2,249700,0.271,0.729,,,,,,,,,,
283.2,399600,0.428,0.572,,,,,,,,,,
283.2,549700,0.558,0.442,,,,,,,,,,
283.2,699600,0.65,0.35,,,,,,,,,,
283.2,849500,0.815,0.185,,,,,,,,,,
298.1,9700,0.018,0.982,,,,,,,,,,
298.2,99500,0.076,0.924,,100000,,0.076379494,0.923620506,,,,0.0897596,0.91024
298.2,249700,0.19,0.81,,250000,,0.190213857,0.809786143,,,,0.100858602,0.899141398
298.2,399800,0.297,0.703,,,,,,,,,,
298.1,549700,0.39,0.61,,,,,,,,,,
298.1,699500,0.475,0.525,,,,,,,,,,
298.2,850100,0.552,0.448,,,,,,,,0.045231,0.954769,
298.1,999900,0.628,0.372,,,,,,,,,0.954769,
322.8,9900,0.006,0.994,,,,,,,,,,
323.1,99500,0.047,0.953,,,,,,,,,,
323.1,249600,0.113,0.887,,,,,,,,,,
323.1,399500,0.174,0.826,,,,,,,,,,
323.1,549700,0.231,0.769,,,,,,,,,,
323.1,699600,0.285,0.715,,,,,,,,,,
323.2,849600,0.335,0.665,,,,,,,,,,
323.2,999600,0.382,0.618,,,,,,,,,,
348.2,9900,0.003,0.997,,,,,,,,,,
348.2,99700,0.029,0.971,,,,,,,,,,
348.2,249500,0.07,0.93,,,,,,,,,,
348.2,399400,0.109,0.891,,,,,,,,,,
348.1,549800,0.146,0.854,,,,,,,,,,
348.1,699700,0.182,0.818,,,,,,,,,,
348.2,849600,0.214,0.786,,,,,,,,,,
348.2,999900,0.248,0.752,,,,,,,,,,
