,0
0,2.945986758
1,2.961177129
2,3.008726015
3,3.00722608
4,2.823603259
5,2.613849214
6,3.059671522
7,3.056909915
8,3.046749695
9,3.105362614
10,2.823996024
11,3.012930005
12,3.064207352
13,3.006128289
14,3.0710122
15,3.082524137
16,3.075706994
17,3.066805442
18,2.87157522
19,2.87018419
20,2.983755561
21,2.972875259
23,3.048617162
24,2.9915973
25,3.073828399
26,3.089211867
27,2.949293533
28,3.044344394
29,2.883537482
30,3.01697305
31,3.100429026
32,2.721730477
33,2.999135066
34,3.106001471
35,3.12040452
36,3.011649022
39,2.992684415
40,2.994220215
41,3.008436446
42,3.001688032
43,3.061293305
45,3.066015372
46,2.963514863
47,2.995050391
49,2.952478894
50,3.049210729
51,3.048132807
52,3.093909091
53,3.042745588
55,3.006208866
56,3.094469524
58,2.697380917
60,2.934518175
61,3.072200524
62,3.051777295
63,3.021515133
64,3.002350531
65,3.0257652
66,3.059473731
67,2.910458995
68,3.065528358
69,2.768462191
70,3.035309189
71,2.972924562
72,3.001011128
73,2.760412211
75,3.116620398
76,3.103102427
77,3.059213712
78,3.085090953
79,3.027612995
80,2.922031722
81,3.039674315
82,3.091318976
83,2.772351931
84,2.957818682
85,3.086416462
86,3.00249689
87,2.795840563
88,3.009619429
89,2.849232373
90,2.680778753
91,2.829248074
92,3.095434819
93,2.710830856
94,3.107313994
95,3.034415777
96,3.05448203
97,2.941253165
98,3.015017906
99,3.045760553
