,0
0,2.760421458
5,2.809689753
6,2.642190603
7,2.938728396
12,2.715787375
13,2.707665241
15,2.884651241
17,2.686261476
18,2.70562378
22,2.748323868
24,2.730936889
25,2.735812794
26,2.733034791
27,2.804566115
28,2.697147645
29,2.789454041
30,2.74729318
31,2.691364571
33,2.73512222
34,2.716975282
35,2.746093739
37,2.654819419
38,2.736420671
40,2.726894728
41,2.728203184
42,2.69198141
45,2.731235021
47,2.774287256
49,2.761486807
51,2.914623571
52,2.811603204
53,2.930928952
54,2.863546226
56,2.733897187
57,2.663382572
60,2.720881083
65,2.733061457
66,2.94666337
67,2.71625936
69,2.723860167
71,2.851867598
72,2.694649863
73,2.759042831
74,2.673020429
75,2.775973601
77,2.723049852
80,2.668001788
81,2.798768922
82,2.753653225
84,2.909408036
86,2.773015847
87,2.92935938
93,2.717466342
94,2.869937993
95,2.698100761
96,2.708229675
98,2.914552497
99,2.718209472
