,0
0,1.067224106
1,1.02231656
2,1.064959711
4,1.024742018
5,1.058006211
6,1.070672607
7,1.069982325
8,1.064676097
9,1.076258397
10,1.014927323
11,0.984897416
12,1.033369415
13,1.068484131
14,1.074124872
15,1.067127356
16,1.074674545
17,1.06890639
18,1.010195132
19,1.064893975
20,1.040771856
21,1.052913325
22,1.051722022
23,1.070193106
24,1.072052598
25,1.069122494
26,1.070856831
27,1.032634733
28,1.052837369
29,1.071126676
30,1.072869566
31,1.06511047
32,1.071284095
34,1.05325499
35,1.06678354
36,1.068472916
37,1.068758761
38,1.062243347
39,1.070962743
40,1.019584203
41,1.077157906
42,1.070083367
43,1.069036791
44,1.068654504
45,1.068884472
46,1.077602946
47,1.070491562
48,0.993606639
49,0.976466027
50,1.06144587
51,1.066477722
52,1.072308803
53,1.07315682
54,1.059848409
55,1.061932057
56,1.071973739
57,1.070374865
58,1.073029948
59,1.070673723
60,1.006565882
61,0.98966332
62,1.06488874
63,1.000022645
64,1.071464137
65,1.074540224
67,1.068792429
68,1.068576448
69,1.068269866
70,1.074637142
71,1.07813549
72,1.065096751
73,1.075910897
74,1.020792929
75,1.061072183
76,1.071059115
77,1.080082717
78,1.0678638
79,1.06037355
80,1.051301127
81,1.070018937
82,1.05673641
83,1.078798786
84,1.06964289
85,0.96398859
86,0.995931248
87,1.071273424
88,1.039108647
90,1.070145455
91,1.022234166
92,1.058558982
93,1.070517279
94,1.06809275
95,1.065873229
96,1.066731497
97,1.076502327
98,1.078667543
99,1.077744929
