temperature,pressure,x_R32,x_R125,x_IL,y_R32,y_R125,y_IL
298.15,250000,0.246781912,0.00001,0.753218088,0.99999,0.00001,0.00001
298.15,250000,0.18571163,0.01790334,0.79638503,0.75,0.25,0.00001
298.15,250000,0.125550724,0.035607754,0.838841522,0.5,0.5,0.00001
298.15,250000,0.06948201,0.052772226,0.877745764,0.25,0.75,0.00001
298.15,250000,8.53E-05,0.077524304,0.92256095,0.00001,0.99999,0.00001
298.15,100000,0.09676329,0.00001,0.90323671,0.99999,0.00001,0.00001
298.15,100000,0.073204768,0.006280378,0.920514854,0.75,0.25,0.00001
298.15,100000,0.047941166,0.013384878,0.938673956,0.5,0.5,0.00001
298.15,100000,0.02372903,0.020290452,0.955980518,0.25,0.75,0.00001
298.15,100000,0.000028418,0.02713919,0.972832392,0.00001,0.99999,0.00001
283.1,9900,0.00001,0.013,0.987,0.00001,0.00001,0.00001
283.2,99600,0.00001,0.034,0.966,0.00001,0.00001,0.00001
283.3,199600,0.00001,0.075,0.925,0.00001,0.00001,0.00001
283.2,299600,0.00001,0.126,0.874,0.00001,0.00001,0.00001
283.3,399600,0.00001,0.185,0.815,0.00001,0.00001,0.00001
283.1,499700,0.00001,0.255,0.745,0.00001,0.00001,0.00001
283.2,599700,0.00001,0.342,0.658,0.00001,0.00001,0.00001
283.1,699600,0.00001,0.462,0.538,0.00001,0.00001,0.00001
283.2,799800,0.00001,0.66,0.4,0.00001,0.00001,0.00001
298.2,9800,0.00001,0.003,0.997,0.00001,0.00001,0.00001
298.2,99600,0.00001,0.023,0.977,0.00001,0.00001,0.00001
298.2,199800,0.00001,0.05,0.95,0.00001,0.00001,0.00001
298.1,299500,0.00001,0.08,0.92,0.00001,0.00001,0.00001
298.2,399800,0.00001,0.111,0.889,0.00001,0.00001,0.00001
298.2,499500,0.00001,0.143,0.857,0.00001,0.00001,0.00001
298.2,599500,0.00001,0.18,0.82,0.00001,0.00001,0.00001
298.2,799600,0.00001,0.261,0.739,0.00001,0.00001,0.00001
298.1,999800,0.00001,0.363,0.637,0.00001,0.00001,0.00001
323.1,99600,0.00001,0.013,0.987,0.00001,0.00001,0.00001
323.1,199800,0.00001,0.028,0.972,0.00001,0.00001,0.00001
323.2,300000,0.00001,0.042,0.958,0.00001,0.00001,0.00001
323.1,399700,0.00001,0.057,0.943,0.00001,0.00001,0.00001
323.2,499900,0.00001,0.072,0.928,0.00001,0.00001,0.00001
323.1,599600,0.00001,0.087,0.913,0.00001,0.00001,0.00001
323.1,799700,0.00001,0.12,0.88,0.00001,0.00001,0.00001
323.1,999600,0.00001,0.154,0.846,0.00001,0.00001,0.00001
348.1,99700,0.00001,0.007,0.993,0.00001,0.00001,0.00001
348.2,199600,0.00001,0.016,0.984,0.00001,0.00001,0.00001
348.3,299700,0.00001,0.025,0.975,0.00001,0.00001,0.00001
348.2,399700,0.00001,0.033,0.967,0.00001,0.00001,0.00001
348.2,499800,0.00001,0.043,0.957,0.00001,0.00001,0.00001
348.2,599800,0.00001,0.053,0.947,0.00001,0.00001,0.00001
348.3,800000,0.00001,0.07,0.93,0.00001,0.00001,0.00001
348.2,999600,0.00001,0.088,0.912,0.00001,0.00001,0.00001
283.2,9800,0.0206,0.00001,0.9794,0.00001,0.00001,0.00001
283.2,99600,0.106,0.00001,0.894,0.00001,0.00001,0.00001
283.2,249700,0.271,0.00001,0.729,0.00001,0.00001,0.00001
283.2,399600,0.428,0.00001,0.572,0.00001,0.00001,0.00001
283.2,549700,0.558,0.00001,0.442,0.00001,0.00001,0.00001
283.2,699600,0.65,0.00001,0.35,0.00001,0.00001,0.00001
283.2,849500,0.815,0.00001,0.185,0.00001,0.00001,0.00001
298.1,9700,0.018,0.00001,0.982,0.00001,0.00001,0.00001
298.2,99500,0.076,0.00001,0.924,0.00001,0.00001,0.00001
298.2,249700,0.19,0.00001,0.81,0.00001,0.00001,0.00001
298.2,399800,0.297,0.00001,0.703,0.00001,0.00001,0.00001
298.1,549700,0.39,0.00001,0.61,0.00001,0.00001,0.00001
298.1,699500,0.475,0.00001,0.525,0.00001,0.00001,0.00001
298.2,850100,0.552,0.00001,0.448,0.00001,0.00001,0.00001
298.1,999900,0.628,0.00001,0.372,0.00001,0.00001,0.00001
322.8,9900,0.006,0.00001,0.994,0.00001,0.00001,0.00001
323.1,99500,0.047,0.00001,0.953,0.00001,0.00001,0.00001
323.1,249600,0.113,0.00001,0.887,0.00001,0.00001,0.00001
323.1,399500,0.174,0.00001,0.826,0.00001,0.00001,0.00001
323.1,549700,0.231,0.00001,0.769,0.00001,0.00001,0.00001
323.1,699600,0.285,0.00001,0.715,0.00001,0.00001,0.00001
323.2,849600,0.335,0.00001,0.665,0.00001,0.00001,0.00001
323.2,999600,0.382,0.00001,0.618,0.00001,0.00001,0.00001
348.2,9900,0.003,0.00001,0.997,0.00001,0.00001,0.00001
348.2,99700,0.029,0.00001,0.971,0.00001,0.00001,0.00001
348.2,249500,0.07,0.00001,0.93,0.00001,0.00001,0.00001
348.2,399400,0.109,0.00001,0.891,0.00001,0.00001,0.00001
348.1,549800,0.146,0.00001,0.854,0.00001,0.00001,0.00001
348.1,699700,0.182,0.00001,0.818,0.00001,0.00001,0.00001
348.2,849600,0.214,0.00001,0.786,0.00001,0.00001,0.00001
348.2,999900,0.248,0.00001,0.752,0.00001,0.00001,0.00001
