,P1,x1,P2,x2,P3,x3,P4,x4
0,NaN,NaN,NaN,NaN,0.69466995,0.154,0.719029117,0.088
1,NaN,NaN,NaN,NaN,0.666676356,0.143928571,0.678551169,0.082214286
2,NaN,NaN,NaN,NaN,0.6362191,0.133857143,0.637040186,0.076428571
3,NaN,NaN,NaN,NaN,0.603283233,0.123785714,0.594512258,0.070642857
4,NaN,NaN,NaN,NaN,0.567860894,0.113714286,0.550984009,0.064857143
5,NaN,NaN,NaN,NaN,0.529951177,0.103642857,0.506472552,0.059071429
6,NaN,NaN,NaN,NaN,0.489559938,0.093571429,0.460995427,0.053285714
7,NaN,NaN,0.437794972,0.193000003,0.446699545,0.0835,0.41457056,0.0475
8,0.296952382,0.205428571,0.414667526,0.168714286,0.401388575,0.073428571,0.367216205,0.041714286
9,0.281575626,0.173357143,0.383154111,0.144428571,0.353651461,0.063357143,0.318950902,0.035928571
10,0.281575626,0.173357143,0.342696734,0.120142857,0.303518117,0.053285714,0.26979343,0.030142857
11,0.219757178,0.109214286,0.292848173,0.095857143,0.251023522,0.043214286,0.219762761,0.024357143
12,0.171105284,0.077142857,0.233284858,0.071571429,0.196207291,0.033142857,0.168878021,0.018571429
13,0.10948814,0.045071429,0.163813663,0.047285714,0.139113239,0.023071429,0.117158445,0.012785714
14,0,0,0,0,0,0,0,0
