,P1,x1,P2,x2,P3,x3,P4,x4
0,,,,,0.654738142,0.154,0.700090398,0.088
1,,,,,0.631398449,0.143928571,0.662210008,0.082214286
2,,,,,0.605430411,0.133857143,0.623117462,0.076428571
3,,,,,0.576786953,0.123785714,0.582825007,0.070642857
4,,,,,0.545429084,0.113714286,0.541345873,0.064857143
5,,,,,0.511326079,0.103642857,0.498694217,0.059071429
6,,,,,0.474455559,0.093571429,0.454885056,0.053285714
7,,,0.43588359,0.192999999,0.434803478,0.0835,0.409934206,0.0475
8,,,0.386090356,0.168714286,0.392364019,0.073428571,0.36385822,0.041714286
9,,,0.361205445,0.144428573,0.347139411,0.063357143,0.316674328,0.035928571
10,,,0.326987282,0.120142857,0.299139659,0.053285714,0.268400372,0.030142857
11,,,0.282701557,0.095857143,0.248382219,0.043214286,0.219054752,0.024357143
12,,,0.227740134,0.071571429,0.1948916,0.033142857,0.168656361,0.018571429
13,,,0.161641744,0.047285714,0.138698924,0.023071429,0.117224529,0.012785714
14,,,,,,,,
