,,,,,,,,,,,,,,
HFC-32 (1) + HFC-125 (2) + [C4C1im][PF6] (3),,,,,,,,,,,,,,
HFC-125 Inlet ,HFC-32 Inlet ,Total Absorption,HFC-125 Absorption,,,HFC-32 Absorption,,,,,,,,
(mol %),(mol %),(mol %),(mol %),,,(mol %),,,,,,,,
T = 298.15 K | P = 0.1 MPa | Flow Rate = 12.5 ml·min-1,,,,,,,,,,125 y,,125 x,,
0,100,8.8,0,±,<0.01,8.8,±,0.02,,0,1,0,0.088,0.912
25,75,7.4,0.6,±,0.03,6.8,±,0.04,,0.25,0.75,0.006,0.068,0.926
50,50,5.8,1.3,±,0.05,4.6,±,0.06,,0.5,0.5,0.013,0.046,0.941
75,25,4.2,2,±,0.08,2.3,±,0.07,,0.75,0.25,0.02,0.023,0.957
100,0,2.7,2.7,±,0.11,0,±,0.08,,1,0,0.027,0,0.973
T = 298.15 K | P = 0.25 MPa | Flow Rate = 6.25 ml·min-1,,,,,,,,,,125 y,,125 x,,
0,100,19.8,0,±,0.01,19.8,±,0.03,,0,1,0,0.198,0.802
25,75,16.9,1.8,±,0.05,15.7,±,0.07,,0.25,0.75,0.018,0.157,0.825
50,50,13.9,3.5,±,0.1,11.2,±,0.1,,0.5,0.5,0.035,0.112,0.853
75,25,10.9,5,±,0.15,6.5,±,0.14,,0.75,0.25,0.05,0.065,0.885
100,0,7.2,7.2,±,0.21,0,±,0.18,,1,0,0.072,0,0.928
,,,,,,,,,,,,,,
