,0
0,15150.413373408546
1,80168.18651475663
2,218261.3688584099
3,371413.08733947197
4,522846.388119254
5,649539.057233767
6,928137.8421732049
7,20810.336166745397
8,89832.22136990399
9,234127.50580256447
10,382682.96493549255
11,523723.82400639175
12,667770.1817034208
13,815495.251355008
14,973971.6698890076
15,13086.40199952152
16,104783.1038973245
17,258353.27096960664
18,407846.02618217416
19,555070.3532799043
20,702249.7169657488
21,848218.477860305
22,991547.1597789569
23,11208.942019274251
24,109528.45816312547
25,269021.11680604727
26,426190.7887426722
27,579530.1701518715
28,734993.9961540186
29,879849.4814243504
30,1037769.2430882691
